removed_source,auroc,auprc,delta_auroc,delta_auprc
n_targets,0.8818877551020408,0.5665018387377527,-0.026077097505669,-0.0631070476289185
europepmc,0.8875850340136054,0.5446431635770095,-0.020379818594104315,-0.08496572278966175
drug_fp_sim_max,0.8952380952380952,0.5760287548644996,-0.012726757369614594,-0.05358013150217167
target_degree_mean,0.8965986394557823,0.5748421832230526,-0.011366213151927429,-0.054766703143618645
orphanet,0.9018990929705215,0.6001614037526488,-0.0060657596371882505,-0.029447482614022413
gwas_credible_sets,0.9022392290249434,0.6146604685669838,-0.005725623582766404,-0.014948417799687475
disease_ontology_mean_sim,0.9028628117913833,0.6265414229368901,-0.005102040816326481,-0.0030674634297811476
genomics_england,0.9034863945578231,0.6019420852419168,-0.004478458049886669,-0.027666801124754392
impc,0.9045068027210884,0.6255138592783667,-0.0034580498866213505,-0.004095027088304559
target_disease_network_overlap,0.9047902494331066,0.6116548639720499,-0.0031746031746031633,-0.017954022394621294
intogen,0.9048185941043084,0.6044861108803766,-0.0031462585034013335,-0.025122775486294602
eva_somatic,0.9049036281179139,0.6130900385372697,-0.003061224489795844,-0.016518847829401495
gene2phenotype,0.9049319727891156,0.6175704445126341,-0.0030328798185941253,-0.01203844185403713
cancer_gene_census,0.9049603174603175,0.5972817859602664,-0.0030045351473922954,-0.03232710040640485
target_degree_max,0.9052437641723355,0.6299476611923999,-0.0027210884353742193,0.00033877482572863826
disease_ontology_max_sim,0.9058956916099774,0.6111099675570769,-0.0020691609977323555,-0.01849891880959431
drug_has_smiles,0.9062641723356009,0.6066890340189987,-0.001700680272108901,-0.022919852347672576
disease_ontology_n_related,0.9064909297052153,0.6031861365964779,-0.0014739229024944844,-0.02642274977019332
eva,0.9069444444444444,0.612706295170987,-0.0010204081632653184,-0.01690259119568427
reactome,0.9073412698412698,0.6124507867520937,-0.0006235827664399229,-0.017158099614577482
target_mean_interaction_score,0.9083049886621315,0.6023093167865532,0.0003401360544217358,-0.027299569580118033
crispr_screen,0.9085034013605442,0.6233059516516222,0.0005385487528344335,-0.006302934715049058
drug_fp_sim_mean,0.9089852607709751,0.6064135171423919,0.0010204081632653184,-0.02319536922427934
clingen,0.9092403628117914,0.6198535671138211,0.0012755102040816757,-0.009755319252850114
uniprot_literature,0.9093820861678005,0.6367655740093243,0.0014172335600907138,0.007156687642653092
expression_atlas,0.9094671201814059,0.6257504775464078,0.0015022675736960922,-0.003858408820263448
gene_burden,0.9096371882086168,0.6268943554208514,0.0016723356009070711,-0.0027145309458198597
crispr,0.9103174603174604,0.6381559258186055,0.0023526077097506537,0.008547039451934246
cancer_biomarkers,0.9104024943310658,0.6265754119206065,0.002437641723356032,-0.003033474446064721
uniprot_variants,0.9111394557823129,0.6282768001184434,0.0031746031746031633,-0.0013320862482277818
