feature,importance
impc,0.17000726
gwas_credible_sets,0.10883665
europepmc,0.08541644
target_degree_max,0.08207938
cancer_gene_census,0.07419308
n_targets,0.06969234
target_disease_network_overlap,0.05391274
target_degree_mean,0.03659487
expression_atlas,0.03625712
drug_fp_sim_max,0.030742353
target_mean_interaction_score,0.02989628
eva,0.025428915
disease_ontology_n_related,0.02467194
disease_ontology_mean_sim,0.024236696
disease_ontology_max_sim,0.020792155
drug_fp_sim_mean,0.01537256
cancer_biomarkers,0.014025597
drug_has_smiles,0.013754373
crispr_screen,0.011480277
orphanet,0.010039417
genomics_england,0.00893011
intogen,0.008259948
reactome,0.008030487
eva_somatic,0.0073758946
gene2phenotype,0.006947622
gene_burden,0.0065061655
uniprot_variants,0.0048664184
crispr,0.0043622134
clingen,0.004319581
uniprot_literature,0.0029710406
